,lat,long,age,gender
0,18.5589835,73.77820229999998,33,female
1,18.564084,73.80270300000001,42,male
2,18.5204303,73.85674370000001,19,male
3,18.567751,73.8757204,22,female
4,18.51576,73.85688979999998,18,female
5,18.5118059,73.84369459999998,21,female
6,18.4690213,73.8640944,21,male
7,18.4995356,73.81470420000001,25,male
8,18.532397600000003,73.94406459999998,19,female
9,18.5116565,73.8699182,26,female
10,19.2005554,73.8594773,20,male
11,18.5709235,73.83508309999998,18,female
12,18.5204303,73.85674370000001,29,male
13,19.094828699999997,74.74797889999998,25,female
14,18.553295000000002,73.91099770000001,26,female
15,18.554555999999998,73.937714,48,male
16,18.4452577,73.8610191,18,female
17,18.564183,73.883881,20,male
18,18.4877372,73.8704877,27,male
19,18.546328600000002,73.90331390000001,19,female
20,35.7079052,140.5643284,33,female
21,18.5907515,73.91099770000001,44,male
22,18.5335485,73.9311902,44,male
23,18.4464732,73.826375,46,female
24,19.1132337,73.73267750000001,30,female
25,18.532397600000003,73.94406459999998,21,female
26,18.532397600000003,73.94406459999998,22,female
27,18.6079035,73.9466363,24,female
28,18.450206899999998,73.8760946,28,female
29,18.5158057,73.92716440000001,19,female
30,18.5329125,73.8547709,35,female
31,18.533032300000002,73.933003,72,female
32,18.5204303,73.85674370000001,51,female
33,18.447879999999998,73.857126,50,male
34,18.5204303,73.85674370000001,19,male
35,18.552922600000002,73.879711,36,female
36,19.094828699999997,74.74797889999998,21,female
37,18.5144313,73.86538329999998,60,female
38,18.4616438,73.87250429999999,20,male
39,18.4690213,73.8640944,55,male
40,18.5679146,73.91434319999998,55,female
41,18.528435,73.83234920000001,40,female
42,18.532397600000003,73.94406459999998,18,male
43,18.5065487,73.82730819999998,80,female
44,35.7079052,140.5643284,35,male
45,18.515879199999997,73.85803969999998,19,female
46,18.512137,73.8521866,20,female
47,18.5512771,73.92098940000002,19,male
48,18.5235518,73.906346,20,female
49,18.500918,73.84705229999999,55,male
50,18.5000766,73.9623843,70,male
51,19.094828699999997,74.74797889999998,29,female
52,18.529846,73.914672,65,female
53,18.443058999999998,73.815867,20,male
54,18.4469333,73.8101934,26,male
55,18.5163849,73.86463990000001,19,female
56,18.5679146,73.91434319999998,21,female
57,19.096792800000003,72.8516953,26,female
58,18.4471444,73.8101999,29,female
59,18.593943200000002,73.94214620000001,19,female
60,18.5204303,73.85674370000001,40,female
61,18.501946899999997,73.86629169999998,31,female
62,18.5018322,73.8635912,24,female
63,18.5944704,73.9275889,48,female
64,18.540968200000002,73.781649,21,female
65,18.4949019,73.84411180000001,19,male
66,18.466912699999998,73.886173,50,male
67,18.5116565,73.8699182,19,female
68,18.4532344,73.8693452,19,female
69,26.9492999,75.8005051,39,female
70,18.4654546,73.85468209999998,19,male
71,18.554896499999998,73.8962994,20,male
72,18.507584,73.861999,40,female
73,20.598224,74.20325809999999,40,female
74,18.4529322,73.86523799999998,20,male
75,18.5512771,73.92098940000002,40,female
76,18.5635511,73.9325552,76,male
77,20.598224,74.20325809999999,23,female
78,18.5204303,73.85674370000001,54,female
79,18.5573422,73.8971708,50,male
80,18.5512771,73.92098940000002,19,female
81,18.5944704,73.9275889,24,male
82,18.560164899999997,73.8031335,70,male
83,18.4726725,73.9784573,21,female
